ds,y
2010-01-10,20094.19
2010-02-04,57258.43
2010-02-07,16333.14
2010-03-09,16241.78
2010-03-12,22517.56
2010-04-06,17558.09
2010-05-02,24924.5
2010-05-03,21827.9
2010-05-11,34238.88
2010-06-08,17508.41
2010-07-05,17413.94
2010-08-10,23388.03
2010-09-04,42960.91
2010-09-07,17688.76
2010-10-09,18194.74
2010-10-12,31497.65
2010-11-06,16637.62
2010-12-02,46039.49
2010-12-03,21043.39
2010-12-11,19549.39
2011-01-04,20398.09
2011-01-07,15363.5
2011-02-09,15277.27
2011-02-12,25293.49
2011-03-06,16434.15
2011-04-02,21665.76
2011-04-03,20327.61
2011-04-11,39886.06
2011-05-08,15295.55
2011-06-05,20138.19
2011-07-01,15984.24
2011-07-10,20797.58
2011-08-04,23873.79
2011-08-07,16148.87
2011-09-09,17746.68
2011-09-12,33305.92
2011-10-06,15883.52
2011-11-02,37887.17
2011-11-03,21280.4
2011-11-11,18689.54
2011-12-08,14539.79
2012-01-06,16065.49
2012-02-03,20113.03
2012-03-02,23510.49
2012-03-08,16628.31
2012-04-05,17147.44
2012-05-10,21904.47
2012-06-01,16567.69
2012-06-04,57592.12
2012-06-07,17823.37
2012-07-09,18322.37
2012-08-06,17666.0
2012-09-03,21140.07
2012-10-02,36988.49
2012-10-08,16119.92
2012-11-05,18164.2
2012-12-10,22764.01
