ds,yhat,yhat_lower,yhat_upper
2010-01-10,26693.952733466773,16746.33657068667,36623.624850523636
2010-02-04,34576.49737456687,23608.70937834417,44481.1962873188
2010-02-07,22295.475939580334,11975.306339206889,32775.17875215549
2010-03-09,24496.926923322964,14383.988102713096,35471.9078752054
2010-03-12,15705.106542094796,5372.9610995665,26487.680054685585
2010-04-06,25422.193867437236,14490.16229507871,35650.910109224875
2010-05-02,19989.987218124574,9674.250168543744,31024.11457761069
2010-05-03,27427.577368927243,17523.91473861869,37848.04860497793
2010-05-11,27496.14781849012,16381.243998493093,37933.71206190711
2010-06-08,23294.28683840922,13292.608182737726,33642.51287436894
2010-07-05,24372.136965059464,14111.887031839577,34628.837885819295
2010-08-10,24353.453060936627,13466.833482138774,34630.00299090085
2010-09-04,28207.89402917744,17783.96380185333,38306.82793440532
2010-09-07,27669.043683979235,17336.116674968824,37711.57025903796
2010-10-09,26241.129153330836,15608.865125883009,35466.607006765305
2010-10-12,23349.58246423759,12609.539518650394,34137.87896062657
2010-11-06,26019.985039687774,15592.514078054985,35871.54156353741
2010-12-02,34866.429474077726,25547.47220156979,45103.61224689717
2010-12-03,25557.036574971768,14460.119320370395,36417.293869754496
2010-12-11,20702.775872967144,10186.768819848114,31249.51842369127
2011-01-04,16788.287616323192,6584.917812916049,27377.15905129208
2011-01-07,16574.077228926784,6545.2268712635,26815.26033130656
2011-02-09,27847.60450787597,17548.0900277089,38445.82870161103
2011-02-12,22998.15664738235,12312.286108916316,33800.59640530665
2011-03-06,17294.498967602813,6955.074923907799,27151.492399412116
2011-04-02,20159.631345856527,10547.303571853332,30217.229182083323
2011-04-03,12429.170083560599,2702.8864512627083,22828.07069691584
2011-04-11,34991.817933207174,24464.784816964275,44977.20092403677
2011-05-08,17503.759123133503,7363.280826079938,28028.913287796815
2011-06-05,24071.143153840378,13937.76549020505,34214.8957909902
2011-07-01,10664.629471226006,376.16442687853487,21068.260122070722
2011-07-10,14930.977371689463,4926.364266989793,24680.221309746732
2011-08-04,19693.995571885876,10317.066446850766,30099.79348689529
2011-08-07,15357.48052635376,5248.0065446865465,25721.909357570566
2011-09-09,20738.138476575365,10069.247766299683,30966.054516499025
2011-09-12,32607.154999085724,22365.248661364138,42811.351620993235
2011-10-06,23007.790349068902,12991.492063076548,33410.4404265613
2011-11-02,25343.98889453203,15248.360503973097,36042.516925335774
2011-11-03,22226.643115225805,12306.469422546703,32706.793819706825
2011-11-11,16521.32340115899,6053.557771987372,26468.57690528222
2011-12-08,23998.410424294667,13737.410756721565,34475.36123390028
2012-01-06,12428.866564934577,1271.4024408152889,23044.366066764218
2012-02-03,27098.280645902123,16298.925411946848,37139.203810741594
2012-03-02,13457.951667981328,2354.5161508062242,24595.868443384585
2012-03-08,22987.795446882043,11440.37212730564,33084.635135752105
2012-04-05,22869.405453094918,11957.328414960657,33108.6500947693
2012-05-10,25301.253785701567,15743.705194936812,36659.181782665255
2012-06-01,28935.702741184446,18244.3599232263,38802.42267976417
2012-06-04,31773.770510421775,21841.848696136123,43016.51798098453
2012-06-07,22893.638382114907,11833.385033052553,32864.04152475333
2012-07-09,22124.511726191784,12052.41046602542,32318.212262091532
2012-08-06,22278.159959888566,12416.182121854088,32219.75348863295
2012-09-03,24507.45508890264,13896.904483908806,34877.381427067885
2012-10-02,22623.672327089567,12468.766374227196,33609.50237170528
2012-10-08,22954.35733111043,13074.587958094138,33021.47533894122
2012-11-05,22638.88414357602,11762.95665984157,33068.69615205784
2012-12-10,18490.940281888033,8289.659574153111,28040.166669586342
2012-12-16,-1571.0766758241152,-11305.580065216465,9454.41652272497
2012-12-23,-7320.753887396626,-17148.927599546583,3348.242778612591
2012-12-30,-793.3453195377333,-11140.680394486611,9001.866015510403
2013-01-06,14400.16808905145,4340.626269588662,24777.84551875104
2013-01-13,30162.042281478123,19426.73922424066,40583.17804416585
